YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,BURNCLAS,SDATE,EDATE,AFSDATE,AFEDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,AGENCY,BT_GID,VERSION,COMMENTS,BASRC_1,new_flg,x,y
1986,208,1,9,7,2,4,1899-11-30,1899-11-30,1986-07-10,1899-11-30,1986-09-12,3408.09266398,3408.09266398,0,NT,12,1986_r9_20210810,Null,3,,-115.8954315203367,-25.685525411600192
1986,31,1,9,7,4,4,1899-11-30,1899-11-30,1986-05-14,1899-11-30,1986-06-20,2767.7680444,2767.7680444,0,NB,8,1986_r9_20210810,Null,3,,-9.881754656210761,30.734426385898267
1986,159,3,0,2,4,4,1899-11-30,1899-11-30,1986-05-28,1899-11-30,1899-11-30,49.2682345198,53.3166407663,2,BC,241,1986_r9_20210810,"G70001[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-63.49020819995524,-10.25354122805251
1986,102,3,0,2,4,4,1899-11-30,1899-11-30,1986-10-20,1899-11-30,1899-11-30,6.74396758932,7.88017951218,2,BC,269,1986_r9_20210810,"C50101[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-88.97911651324645,-49.88055141945495
1986,13,1,9,7,2,4,1899-11-30,1899-11-30,1986-05-27,1899-11-30,1986-07-30,1882.73446281,1882.73446281,0,QC,17,1986_r9_20210810,Null,3,,-102.07229795542047,-25.695519880157267
1986,7,1,9,7,4,4,1899-11-30,1899-11-30,1986-05-15,1899-11-30,1986-06-20,2941.4924437,2941.4924437,0,NB,18,1986_r9_20210810,Null,3,,85.38657177542085,1.4222402523530164
1986,258,1,9,7,2,4,1899-11-30,1899-11-30,1986-07-17,1899-11-30,1986-08-24,10810.3098865,10810.3098865,0,YT,5,1986_r9_20210810,Null,3,,-151.45545737087983,-21.144964888447888
1986,250,1,9,7,2,4,1899-11-30,1899-11-30,1986-06-30,1899-11-30,1987-07-14,58066.9827797,58066.9827797,0,NT,11,1986_r9_20210810,Null,3,,2.45178534544484,9.398417426286636
1986,16,1,9,7,4,4,1899-11-30,1899-11-30,1986-05-15,1899-11-30,1986-06-20,4160.28026191,4160.28026191,0,NB,43,1986_r9_20210810,Null,3,,-175.00795797966586,-43.190972017947814
1986,140,3,4,2,0,4,1899-11-30,1899-11-30,1899-11-30,1899-11-30,1899-11-30,471.169302567,471.169302567,0,AB,203,1986_r9_20210810,"DS6-006-1986[alias:,fire_class:E,burncode:B,burn_class:5,capture_da:1986-01-01,source:5 - digitized from aerial photo]",3,,-164.24755365936,-5.877267449663665
1986,191,3,0,2,4,4,1899-11-30,1899-11-30,1986-06-04,1899-11-30,1899-11-30,21.9348308708,24.4900939596,2,BC,84,1986_r9_20210810,"R90008[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-23.944331131629315,-13.146019965378605
1986,156,3,0,2,4,4,1899-11-30,1899-11-30,1986-10-13,1899-11-30,1899-11-30,28.458489295,31.4560939221,2,BC,82,1986_r9_20210810,"G70028[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-91.8603174673432,-59.87304706946085
1986,11,1,9,7,0,4,1899-11-30,1899-11-30,1986-05-21,1986-07-16,1986-08-03,54863.7536046,54863.7536046,0,ON,33,1986_r9_20210810,Null,3,,-115.03266314910236,30.18461798070242
1986,240,1,9,7,2,4,1899-11-30,1899-11-30,1986-07-08,1899-11-30,1986-09-06,5513.0829403,5513.0829403,0,NT,34,1986_r9_20210810,Null,3,,-15.919485763788023,-8.795861346476867
1986,349,3,3,2,2,4,1899-11-30,1899-11-30,1986-07-17,1899-11-30,1899-11-30,3439.61744356,3159.77043595,2,YT,83,1986_r9_20210810,"198609010[comments:,SubDistric:MA,Fire_metho:4,Fire_Cause:1]",3,,89.39692423742481,-33.27897120889892
1986,151,3,0,5,4,4,1899-11-30,1899-11-30,1986-05-07,1899-11-30,1899-11-30,17.665968105,19.889348872,2,BC,61,1986_r9_20210810,"G40006[load_date:20070517000000,method:buffered_point,fire_cause:Person,source:Buffered_Point]",3,,-7.0581121393663375,12.715691147426355
1986,47,3,0,2,4,4,1899-11-30,1899-11-30,1986-10-07,1899-11-30,1899-11-30,32.8800928525,36.1414711077,2,BC,120,1986_r9_20210810,"K60070[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-122.38616835649411,-55.327071263375316
1986,107,3,0,2,4,4,1899-11-30,1899-11-30,1986-05-07,1899-11-30,1899-11-30,99.9606746618,105.261350794,2,BC,192,1986_r9_20210810,"V50001[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,149.81843206757065,53.64728362493779
1986,89,3,0,5,4,4,1899-11-30,1899-11-30,1986-04-08,1899-11-30,1899-11-30,29.2760242244,32.324396924,2,BC,70,1986_r9_20210810,"C40003[load_date:20070517000000,method:buffered_point,fire_cause:Person,source:Buffered_Point]",3,,-69.19619519184486,9.73241386161191
1986,73,3,0,5,4,4,1899-11-30,1899-11-30,1986-10-23,1899-11-30,1899-11-30,12.4740473093,14.2338378721,2,BC,51,1986_r9_20210810,"K20101[load_date:20070517000000,method:buffered_point,fire_cause:Person,source:Buffered_Point]",3,,91.95629479549422,-14.80921273500307
1986,86,3,0,5,4,4,1899-11-30,1899-11-30,1986-08-08,1899-11-30,1899-11-30,30.8675333372,34.012078559,2,BC,217,1986_r9_20210810,"K10023[load_date:20070517000000,method:buffered_point,fire_cause:Person,source:Buffered_Point]",3,,-96.5267408601096,2.664803454958818
1986,259,3,3,2,4,4,1899-11-30,1899-11-30,1986-07-17,1899-11-30,1899-11-30,1775.74463193,1673.42049275,2,YT,148,1986_r9_20210810,"198608012[comments:,SubDistric:DA,Fire_metho:4,Fire_Cause:999]",3,,-73.24033365384038,-41.83382121597017
1986,106,3,0,5,4,4,1899-11-30,1899-11-30,1986-10-16,1899-11-30,1899-11-30,14.6956611014,16.6631512871,2,BC,193,1986_r9_20210810,"C20078[load_date:20070517000000,method:buffered_point,fire_cause:Person,source:Buffered_Point]",3,,-102.05690860271105,20.047994208572028
1986,110,3,0,2,4,4,1899-11-30,1899-11-30,1986-09-20,1899-11-30,1899-11-30,41.7626076197,45.4834151104,2,BC,113,1986_r9_20210810,"C30041[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-4.472775287429933,1.1805161892733917
1986,5,1,9,7,4,4,1899-11-30,1899-11-30,1986-05-15,1899-11-30,1986-06-20,8590.38774277,8590.38774277,0,NB,15,1986_r9_20210810,Null,3,,20.846973236767617,14.072895655914376
1986,28,1,9,7,2,4,1899-11-30,1899-11-30,1986-05-29,1899-11-30,1986-07-30,5243.02985669,5243.02985669,0,QC,30,1986_r9_20210810,Null,3,,160.11536547303186,14.022986735263292
1986,232,1,9,7,2,4,1899-11-30,1899-11-30,1986-07-14,1899-11-30,1987-07-14,35335.6332405,35335.6332405,0,NT,10,1986_r9_20210810,Null,3,,-6.779619483467865,20.92315918424022
1986,164,3,0,2,2,4,1899-11-30,1899-11-30,1986-06-07,1899-11-30,1899-11-30,21.7146500857,24.2537032463,2,BC,242,1986_r9_20210810,"G70008[load_date:20070517000000,method:digitised,fire_cause:Lightning,source:mylars]",3,,75.22784335819071,-16.491420270787923
1986,97,3,0,2,4,4,1899-11-30,1899-11-30,1986-10-20,1899-11-30,1899-11-30,64.8365978961,69.4247768529,2,BC,233,1986_r9_20210810,"C40084[load_date:20070517000000,method:buffered_point,fire_cause:Person,source:Buffered_Point],C30042[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,97.16874313404982,1.0269878683228322
1986,40,1,9,7,0,4,1899-11-30,1899-11-30,1986-05-25,1986-07-15,1986-08-19,25573.2676869,25573.2676869,0,ON,2,1986_r9_20210810,Null,3,,169.42357345067424,-6.776971395713684
1986,54,1,9,7,0,4,1899-11-30,1899-11-30,1986-05-22,1986-06-28,1986-08-19,4099.01344703,4099.01344703,0,ON,1,1986_r9_20210810,Null,3,,10.972137638880657,42.28593471446559
1986,304,3,9,4,0,4,1899-11-30,1899-11-30,1899-11-30,1899-11-30,1899-11-30,3373.3507976,3373.3507976,0,PC-NA,76,1986_r9_20210810,"86NA002[MORE_INFO:,FIRENAME:,SOURCE_KEY:Landsat,WATER_REM:,UNBURN_REM:]",3,,158.62117809870517,8.416234866857112
1986,18,1,9,7,2,4,1899-11-30,1899-11-30,1986-05-27,1899-11-30,1986-07-30,6232.91240482,6232.91240482,0,QC,37,1986_r9_20210810,Null,3,,129.64160324631973,0.5943018332974891
1986,26,1,9,7,4,4,1899-11-30,1899-11-30,1986-05-14,1899-11-30,1986-06-20,19164.1930036,19164.1930036,0,NB,36,1986_r9_20210810,Null,3,,-79.15265171969617,4.196162205237887
1986,38,3,0,2,2,4,1899-11-30,1899-11-30,1986-08-10,1899-11-30,1899-11-30,27.6551375831,30.6019168273,2,BC,129,1986_r9_20210810,"N70023[load_date:20070517000000,method:digitised,fire_cause:Lightning,source:mylars]",3,,138.47880924100372,10.971809752277505
1986,249,1,9,7,2,4,1899-11-30,1899-11-30,1986-06-26,1899-11-30,1986-09-06,5163.84841325,5163.84841325,0,NT,38,1986_r9_20210810,Null,3,,-166.3545058586353,-13.444216904922161
1986,104,3,0,2,4,4,1899-11-30,1899-11-30,1986-09-19,1899-11-30,1899-11-30,21.3269248309,23.8372077866,2,BC,150,1986_r9_20210810,"C30039[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,-16.632891866491068,-14.60115592017897
1986,153,3,0,2,4,4,1899-11-30,1899-11-30,1986-08-07,1899-11-30,1899-11-30,17.0020397107,19.1701752251,2,BC,154,1986_r9_20210810,"G10027[load_date:20070517000000,method:digitised,fire_cause:Person,source:mylars]",3,,13.306628071796709,-5.774715178362044
