"year", "numFires"
"1986","352"
"1987","534"
"1988","535"
"1989","1170"
"1990","507"
"1991","568"
"1992","327"
"1993","365"
"1994","701"
"1995","785"
"1996","804"
"1997","369"
"1998","1235"
"1999","892"
"2000","757"
"2001","798"
"2002","848"
"2003","1154"
"2004","879"
"2005","1128"
"2006","1598"
"2007","1201"
"2008","1269"
"2009","1246"
"2010","1628"
"2011","958"
"2012","1511"
"2013","1637"
"2014","1410"
"2015","2173"
"2016","1002"
"2017","1525"
"2018","1749"
"2019","892"
"2020","657"
"2021","1753"
